predecessor,successor,predecessor_last_month,gap_months_to_2034,shared_partner_count,shared_partner_sample,predecessor_pattern,successor_pattern
Orange River Mouth   &,Fresh Limited Liability Company,2031-11,26,142,1 Ltd. Corporation Transport;3 Logistics Tom yum;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,periodic,stable
Barco de Plata GmbH & Co. KG,Fresh Limited Liability Company,2031-09,28,38,-54;Brisa del Mar Company Worldwide;Caracola del Sol Services;Coastal Castaway Coast Corporation Worldwide,stable,stable
Náutica del Sol Brothers,Fresh Limited Liability Company,2031-09,28,38,-4;Agua Oceanfront Limited Liability Company Transportation;Belgian Scallop S.A. de C.V.;Bujagali Falls  Ltd. Corporation,stable,stable
Portuguese Cuttle GmbH Freight ,Dutch  Ltd. Liability Co Consultants,2031-01,36,38,-6;3 Seabreeze Corporation Marine ecology;Andhra Pradesh   Limited Liability Company;Aquatic Adventures Ltd. Liability Co,stable,stable
Portuguese Cuttle GmbH Freight ,Bu yu wang Corporation Marine conservation,2031-01,36,38,Belgian Scallop S.A. de C.V.;Black Sea Tuna Sagl;Black Sea Tuna Snapper;Caracola Azul Ltd. Corporation,stable,stable
Konkan Coast  SE Marine biology,Playa de Arena Submarine S.A. de C.V. Marine,2030-09,40,38,Ancla del Mar Inc;AquaBite Beach ОАО Shipping;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Seashell s  SRL Consulting,Okavango River  NV Marine life,2029-12,49,38,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Baltic Catch Ltd Coral Reef;Black Sea Tuna Sagl,stable,general
Seashell s  SRL Consulting,Water Wonders Tidepool Ltd Holdings,2029-12,49,38,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Barents Sea  GmbH Cargo ,2029-12,49,38,-1457;-2682;-54;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Mar del Oeste Transport,2029-12,49,38,Black Sea Tuna Sagl;Caracola Azul Ltd. Corporation;Caracola Azul Oyj &;Caracola del Sol Services,stable,stable
-1516,hǎi dǎn Corporation Wharf,2029-05,56,38,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
Gulf of Guinea   Corporation,French Crab Pic Marine conservation,2032-10,15,37,Arunachal Pradesh s Brine;Barco de Plata Corp;Black Sea Tuna Snapper;Caracola Azul Oyj &,general,stable
Gulf of Guinea   Corporation,Perla del Mar CJSC,2032-10,15,37,Adriatic Tuna Seabass BV Transit;Arawak Ltd. Liability Co Transport;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Gulf of Guinea   Corporation,Zambezi Valley  Marine biology,2032-10,15,37,Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Bay of Bengal's Surfboard;Black Sea Tuna Snapper,general,stable
Gulf of Guinea   Corporation,Lake Tana  N.V. Enterprises,2032-10,15,37,Arunachal Pradesh s Brine;Black Sea Tuna Snapper;Caracola Azul Oyj &;Caracola del Sol Services,general,stable
Océano de Coral N.V.,Coastal Cruisers GmbH Logistics,2032-10,15,37,3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Angrapa Ltd. Liability Co Export;Bay of Bengal's SE,stable,stable
Océano de Coral N.V.,Madagascar   Ltd. Corporation Express,2032-10,15,37,3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;Bahía Dorada S.A. de C.V.;Bay of Bengal's SE,stable,stable
Ancla del Este SE,Coastal Cruisers GmbH Logistics,2032-06,19,37,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Andhra Pradesh  Ltd. Liability Co;Arunachal Pradesh s Brine,stable,stable
Ancla del Este SE,Oceanic Oracle GmbH & Co. KG,2032-06,19,37,Aqua Anchor Plc Logistics;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation;Baltic Catch Ltd Coral Reef,stable,stable
Saltwater Sanctuary Company Cargo,River Gambia  Brine Pic Express,2032-03,22,37,-41;-54;3 Oceanography ОАО Marine life;Andhra Pradesh  Ltd. Liability Co,stable,stable
Saltwater Sanctuary Company Cargo,Aqua Aura SE Marine life,2032-03,22,37,-54;3 Oceanography ОАО Marine life;Ancla Marina AB Holdings;Andhra Pradesh  Ltd. Liability Co,stable,stable
FinAddict Limited Liability Company,Fresh Limited Liability Company,2032-02,23,37,Arena del Sol OJSC;Baltic Catch Shipyard Inc Distribution;Belgian Scallop Trawler AB Logistics;Belgian Shrimps Ocean Corp Holdings,stable,stable
Náutica del Este ОАО,Jammu Ltd. Liability Co,2031-12,25,37,Adriatic Tuna Seabass BV Transit;Angrapa Ltd. Liability Co Export;Arunachal  Dashi Inc Worldwide;Atlántico Sur Cargo ship,stable,stable
Ola del Mar NV,Caracola del Este Corporation Express,2031-11,26,37,Adriatic Catch Ges.m.b.H. Marine biology;Ancla del Este Ges.m.b.H.;Ancla del Este Merchants;Arunachal Pradesh s Oceanography,stable,stable
Orange River Mouth   &,Chuan gou  Ltd Marine ecology,2031-11,26,37,3 Oceanography ОАО Marine life;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL;Barco de Plata Corp,periodic,stable
Orange River Mouth   &,Perla del Mar CJSC,2031-11,26,37,Arunachal Pradesh s Brine;Arunachal Pradesh s SRL;Black Sea Tuna Sagl;Black Sea Tuna Snapper,periodic,stable
Orange River Mouth   &,Beach Breakers Ltd Import,2031-11,26,37,3 Trawler Corp Distribution;Aqua Aura SE Marine life;Arunachal Pradesh s SRL;Black Sea Tuna Sagl,periodic,stable
Portuguese Cuttle GmbH Freight ,Mar del Este Brine SRL Investment,2031-01,36,37,-54;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;AtlanticAppetite Oyster  Ltd. Corporation Investment,stable,stable
Portuguese Cuttle GmbH Freight ,Saltwater Solitude Marine biology,2031-01,36,37,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export;Assam  Market Cargo ship Company Marine conservation,stable,stable
Konkan Coast  SE Marine biology,Zambezi Gorge  N.V. Transport,2030-09,40,37,Aqua Azul Trawler GmbH Logistics;Arena del Sol Tide SE and Son's;Bay of Bengal's SE;Belgian Cod Laksa AB Forwading,stable,stable
Lake Mweru  Limited Liability Company,Zambezi Gorge  N.V. Transport,2029-11,50,37,3 Oceanography ОАО Marine life;Aqua Aura SE Marine life;AquaDelight Inc and Son's;Arunachal Pradesh s Brine,periodic,stable
-1516,Caracola del Sol Services,2029-05,56,37,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
